Season,Squad,Country,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts
1988-1989,Barcelona,es ESP,1. La Liga,2nd,38,23,11,4,80,26,+54,57
1989-1990,Barcelona,es ESP,1. La Liga,3rd,38,23,5,10,83,39,+44,51
1990-1991,Barcelona,es ESP,1. La Liga,1st,38,25,7,6,74,33,+41,57
1991-1992,Barcelona,es ESP,1. La Liga,1st,38,23,9,6,87,37,+50,55
1992-1993,Barcelona,es ESP,1. La Liga,1st,38,25,8,5,87,34,+53,58
1993-1994,Barcelona,es ESP,1. La Liga,1st,38,25,6,7,91,42,+49,56
1994-1995,Barcelona,es ESP,1. La Liga,4th,38,18,10,10,60,45,+15,46
1995-1996,Barcelona,es ESP,1. La Liga,3rd,42,22,14,6,72,39,+33,80
1996-1997,Barcelona,es ESP,1. La Liga,2nd,42,28,6,8,102,48,+54,90
1997-1998,Barcelona,es ESP,1. La Liga,1st,38,23,5,10,78,56,+22,74
1998-1999,Barcelona,es ESP,1. La Liga,1st,38,24,7,7,87,43,+44,79
1999-2000,Barcelona,es ESP,1. La Liga,2nd,38,19,7,12,70,46,+24,64
2000-2001,Barcelona,es ESP,1. La Liga,4th,38,17,12,9,80,57,+23,63
2001-2002,Barcelona,es ESP,1. La Liga,4th,38,18,10,10,65,37,+28,64
2002-2003,Barcelona,es ESP,1. La Liga,6th,38,15,11,12,63,47,+16,56
2003-2004,Barcelona,es ESP,1. La Liga,2nd,38,21,9,8,63,39,+24,72
2004-2005,Barcelona,es ESP,1. La Liga,1st,38,25,9,4,73,29,+44,84
2005-2006,Barcelona,es ESP,1. La Liga,1st,38,25,7,6,80,35,+45,82
2006-2007,Barcelona,es ESP,1. La Liga,2nd,38,22,10,6,78,33,+45,76
2007-2008,Barcelona,es ESP,1. La Liga,3rd,38,19,10,9,76,43,+33,67
2008-2009,Barcelona,es ESP,1. La Liga,1st,38,27,6,5,105,35,+70,87
2009-2010,Barcelona,es ESP,1. La Liga,1st,38,31,6,1,98,24,+74,99
2010-2011,Barcelona,es ESP,1. La Liga,1st,38,30,6,2,95,21,+74,96
2011-2012,Barcelona,es ESP,1. La Liga,2nd,38,28,7,3,114,29,+85,91
2012-2013,Barcelona,es ESP,1. La Liga,1st,38,32,4,2,115,40,+75,100
2013-2014,Barcelona,es ESP,1. La Liga,2nd,38,27,6,5,100,33,+67,87
2014-2015,Barcelona,es ESP,1. La Liga,1st,38,30,4,4,110,21,+89,94
2015-2016,Barcelona,es ESP,1. La Liga,1st,38,29,4,5,112,29,+83,91
2016-2017,Barcelona,es ESP,1. La Liga,2nd,38,28,6,4,116,37,+79,90
2017-2018,Barcelona,es ESP,1. La Liga,1st,38,28,9,1,99,29,+70,93
2018-2019,Barcelona,es ESP,1. La Liga,1st,38,26,9,3,90,36,+54,87
2019-2020,Barcelona,es ESP,1. La Liga,2nd,38,25,7,6,86,38,+48,82
2020-2021,Barcelona,es ESP,1. La Liga,3rd,38,24,7,7,85,38,+47,79
2021-2022,Barcelona,es ESP,1. La Liga,2nd,38,21,10,7,68,38,+30,73
